created_at,Date,Month
2017-07-09 00:00:00+00:00,2017-07-09,2017-07
2017-07-16 00:00:00+00:00,2017-07-16,2017-07
2017-07-23 00:00:00+00:00,2017-07-23,2017-07
2017-07-30 00:00:00+00:00,2017-07-30,2017-07
2017-08-06 00:00:00+00:00,2017-08-06,2017-08
2017-08-13 00:00:00+00:00,2017-08-13,2017-08
2017-08-20 00:00:00+00:00,2017-08-20,2017-08
2017-08-27 00:00:00+00:00,2017-08-27,2017-08
2017-09-03 00:00:00+00:00,2017-09-03,2017-09
2017-09-10 00:00:00+00:00,2017-09-10,2017-09
2017-09-17 00:00:00+00:00,2017-09-17,2017-09
2017-09-24 00:00:00+00:00,2017-09-24,2017-09
2017-10-01 00:00:00+00:00,2017-10-01,2017-10
2017-10-08 00:00:00+00:00,2017-10-08,2017-10
2017-10-15 00:00:00+00:00,2017-10-15,2017-10
2017-10-22 00:00:00+00:00,2017-10-22,2017-10
2017-10-29 00:00:00+00:00,2017-10-29,2017-10
2017-11-05 00:00:00+00:00,2017-11-05,2017-11
2017-11-12 00:00:00+00:00,2017-11-12,2017-11
2017-11-19 00:00:00+00:00,2017-11-19,2017-11
2017-11-26 00:00:00+00:00,2017-11-26,2017-11
2017-12-03 00:00:00+00:00,2017-12-03,2017-12
2017-12-10 00:00:00+00:00,2017-12-10,2017-12
2017-12-17 00:00:00+00:00,2017-12-17,2017-12
2017-12-24 00:00:00+00:00,2017-12-24,2017-12
2017-12-31 00:00:00+00:00,2017-12-31,2017-12
2018-01-07 00:00:00+00:00,2018-01-07,2018-01
2018-01-14 00:00:00+00:00,2018-01-14,2018-01
2018-01-21 00:00:00+00:00,2018-01-21,2018-01
2018-01-28 00:00:00+00:00,2018-01-28,2018-01
2018-02-04 00:00:00+00:00,2018-02-04,2018-02
2018-02-11 00:00:00+00:00,2018-02-11,2018-02
2018-02-18 00:00:00+00:00,2018-02-18,2018-02
2018-02-25 00:00:00+00:00,2018-02-25,2018-02
2018-03-04 00:00:00+00:00,2018-03-04,2018-03
2018-03-11 00:00:00+00:00,2018-03-11,2018-03
2018-03-18 00:00:00+00:00,2018-03-18,2018-03
2018-03-25 00:00:00+00:00,2018-03-25,2018-03
2018-04-01 00:00:00+00:00,2018-04-01,2018-04
2018-04-08 00:00:00+00:00,2018-04-08,2018-04
2018-04-15 00:00:00+00:00,2018-04-15,2018-04
2018-04-22 00:00:00+00:00,2018-04-22,2018-04
2018-04-29 00:00:00+00:00,2018-04-29,2018-04
2018-05-06 00:00:00+00:00,2018-05-06,2018-05
2018-05-13 00:00:00+00:00,2018-05-13,2018-05
2018-05-20 00:00:00+00:00,2018-05-20,2018-05
2018-05-27 00:00:00+00:00,2018-05-27,2018-05
2018-06-03 00:00:00+00:00,2018-06-03,2018-06
2018-06-10 00:00:00+00:00,2018-06-10,2018-06
2018-06-17 00:00:00+00:00,2018-06-17,2018-06
2018-06-24 00:00:00+00:00,2018-06-24,2018-06
2018-07-01 00:00:00+00:00,2018-07-01,2018-07
2018-07-08 00:00:00+00:00,2018-07-08,2018-07
2018-07-15 00:00:00+00:00,2018-07-15,2018-07
2018-07-22 00:00:00+00:00,2018-07-22,2018-07
2018-07-29 00:00:00+00:00,2018-07-29,2018-07
2018-08-05 00:00:00+00:00,2018-08-05,2018-08
2018-08-12 00:00:00+00:00,2018-08-12,2018-08
2018-08-19 00:00:00+00:00,2018-08-19,2018-08
2018-08-26 00:00:00+00:00,2018-08-26,2018-08
2018-09-02 00:00:00+00:00,2018-09-02,2018-09
2018-09-09 00:00:00+00:00,2018-09-09,2018-09
2018-09-16 00:00:00+00:00,2018-09-16,2018-09
2018-09-23 00:00:00+00:00,2018-09-23,2018-09
2018-09-30 00:00:00+00:00,2018-09-30,2018-09
2018-10-07 00:00:00+00:00,2018-10-07,2018-10
2018-10-14 00:00:00+00:00,2018-10-14,2018-10
2018-10-21 00:00:00+00:00,2018-10-21,2018-10
2018-10-28 00:00:00+00:00,2018-10-28,2018-10
2018-11-04 00:00:00+00:00,2018-11-04,2018-11
2018-11-11 00:00:00+00:00,2018-11-11,2018-11
2018-11-18 00:00:00+00:00,2018-11-18,2018-11
2018-11-25 00:00:00+00:00,2018-11-25,2018-11
2018-12-02 00:00:00+00:00,2018-12-02,2018-12
2018-12-09 00:00:00+00:00,2018-12-09,2018-12
2018-12-16 00:00:00+00:00,2018-12-16,2018-12
2018-12-23 00:00:00+00:00,2018-12-23,2018-12
2018-12-30 00:00:00+00:00,2018-12-30,2018-12